city_name,region,federal_district,population,foundation_year,status,old_name,latitude,longitude
Неман,Калининградская область,Северо-Западный,9255,1277,1722,Рагнит(до 1946),55.0337684,22.0289572
Нерехта,Костромская область,Центральный,19977,1214,1778,,57.460655,40.573799
Нерчинск,Забайкальский край,Сибирский,15290,1653,1689,"Нелюцкий острог,Нерчинский острог",51.97694,116.588341
Нерюнгри,Якутия,Дальневосточный,53409,1975,1975,Нерюнгра,56.6579435,124.7123042
Нестеров,Калининградская область,Северо-Западный,3336,1539,1722,Шталлупёнен(до 1938);Эбенроде(до 1946),54.6325455,22.5710998
Нефтегорск,Самарская область,Приволжский,18076,1960,1989,,52.80381,51.163864
Нефтекамск,Башкортостан,Приволжский,131942,1957,1963,,56.0884031,54.2478094
Нефтекумск,Ставропольский край,Северо-Кавказский,23137,1958,1968,,44.752205,44.985077
Нея,Костромская область,Центральный,7816,1906,1958,,58.2940908,43.8609201
Нижнекамск,Татарстан,Приволжский,241479,1961,1966,,55.6412879,51.8160376
Нижнеудинск,Иркутская область,Сибирский,29995,1648,1783,"Покровский городок,Удинский острожек",54.9084881,99.0302862
Нижние Серги,Свердловская область,Уральский,8009,1743,1943,,56.6619,59.30003
Нижний Ломов,Пензенская область,Приволжский,20421,1636,1780,,53.529991,43.673626
Нижний Новгород,Нижегородская область,Приволжский,1204985,1221,1221,Горький(с 1932 до 1990),56.3264816,44.0051395
Нижний Тагил,Свердловская область,Уральский,338966,1722,1919,"Тагильский завод,Выйский завод",57.905149,59.9508466
Нижняя Салда,Свердловская область,Уральский,16505,1760,1938,,58.071352,60.7146772
Нижняя Тура,Свердловская область,Уральский,18392,1754,1949,Нижне-Туринский завод;Нижне-Туринск(до 1927),58.6207762,59.8473233
Николаевск,Волгоградская область,Южный,13460,1747,1967,,50.03146,45.454487
Николаевск-на-Амуре,Хабаровский край,Дальневосточный,18631,1850,1856,Николаевск(до 1926),53.138729,140.72493
Никольск,Пензенская область,Приволжский,19873,1761,1954,Николо-Пестровка,53.714596,46.085175
Никольск,Пензенская область,Приволжский,19873,1761,1954,Николо-Пестровка,53.714596,46.085175
Никольское,Ленинградская область,Северо-Западный,22355,1710,1990,"Николаевское,Плитная Ломка",59.7034799,30.7861084
Новая Ладога,Ленинградская область,Северо-Западный,7432,1704,1704,,60.1052,32.3147
Новая Ляля,Свердловская область,Уральский,10684,1903,1938,Ляля(до 1903),59.052734,60.595974
Новоалександровск,Ставропольский край,Северо-Кавказский,26767,1804,1971,Новоалександровская(до 1971),45.4952532,41.2198866
Новоалтайск,Алтайский край,Сибирский,73049,1736,1942,Чесноковка(до 1962),53.393341,83.939407
Новоаннинский,Волгоградская область,Южный,15351,1872,1956,,50.529675,42.667362
Нововоронеж,Воронежская область,Центральный,30658,1957,1987,Ново-Грэсовский,51.30905,39.2160054
Новодвинск,Архангельская область,Северо-Западный,33294,1936,1977,Ворошиловский(до 1957);Первомайский(до 1977),64.419212,40.793793
Новозыбков,Брянская область,Центральный,38680,1701,1809,Зыбкая(до 1809),52.5364885,31.9335455
Новокубанск,Краснодарский край,Южный,34000,1867,1966,Хуторок(до 1961)Новокубанский(до 1966),45.1083184,41.0366896
Новокузнецк,Кемеровская область,Сибирский,537480,1618,1622,Кузнецкий острог(до 1622);Кузнецк-Сибирский(до 1931);Сталинск(с 1932 до 1961),53.7575903,87.1358494
Новокуйбышевск,Самарская область,Приволжский,98306,1946,1952,Липяги,53.099243,49.948364
Новомичуринск,Рязанская область,Центральный,16900,1968,1981,,54.043011,39.744011
Новомосковск,Тульская область,Центральный,119697,1930,1930,Бобрики(до 1933);Сталиногорск(до 1961),54.011013,38.290943
Новопавловск,Ставропольский край,Северо-Кавказский,20781,1777,1981,Новопавловская(до 1981),43.961891,43.6311
Новоржев,Псковская область,Северо-Западный,3222,1777,1777,"Ржева,Ржева Пустая,Аршо",57.031181,29.332918
Новороссийск,Краснодарский край,Южный,262293,1838,1866,,44.7239578,37.7690711
Новосибирск,Новосибирская область,Сибирский,1633595,1893,1903,Александровский(до 1895);Ново-Николаевский(до 1903);Ново-Николаевск(до 1926),54.9678144,82.9515989
Новосиль,Орловская область,Центральный,2912,1155,1777,,52.972939,37.041908
Новосокольники,Псковская область,Северо-Западный,6895,1901,1925,,56.3424648,30.1570358
