city_name,region,federal_district,population,foundation_year,status,old_name,latitude,longitude
Чистополь,Татарстан,Приволжский,58815,1750XVIII век,1781,Чистое Поле(до 1781),55.3714831,50.6367311
Чита,Забайкальский край,Сибирский,334427,1653,1851,"Плотбище,Плоты,Читинская слобода",52.033409,113.500893
Чкаловск,Нижегородская область,Приволжский,11535,1150XII век,1955,Василёво(до 1937),56.764915,43.243324
Чудово,Новгородская область,Северо-Западный,14302,1550XVI век,1937,,59.119539,31.6665887
Чулым,Новосибирская область,Сибирский,11034,1762,1947,Романовское(до 1933),55.09,80.970459
Чусовой,Пермский край,Приволжский,45471,1878,1933,,58.2797802,57.8127468
Чухлома,Костромская область,Центральный,4252,1381,1778,,58.7560222,42.68065
Шагонар,Тыва,Сибирский,11772,1888,1945,,51.538721,92.9194074
Шадринск,Курганская область,Уральский,68609,1662,1712,Шадринская слобода(до 1712);Малоархангельск(до 1733),56.087364,63.629482
Шали,Чечня,Северо-Кавказский,55054,1378 или 1384,1990,Междуречье(с 1944 до 1958),43.153942,45.906578
Шарыпово,Красноярский край,Сибирский,33961,1750XVIII век,1981,Черненко(с 1985 до 1988),55.5329127,89.1864204
Шарья,Костромская область,Центральный,20439,1906,1938,,58.37257,45.519306
Шатура,Московская область,Центральный,38230,1423,1936,,55.578403,39.5437584
Шахты,Ростовская область,Южный,226452,1805,1867,Горное Грушевское поселение(до 1881);Александровск-Грушевский(до 1920),47.7094622,40.2154859
Шахунья,Нижегородская область,Приволжский,17626,1912,1943,,57.6711583,46.6257709
Шацк,Рязанская область,Центральный,5927,1553,1553,,54.028687,41.712601
Шебекино,Белгородская область,Центральный,39680,1713,1938,,50.4049335,36.8796822
Шелехов,Иркутская область,Сибирский,41998,1953,1962,ИркАЗ(до 1956),52.2097478,104.097683
Шелковская,Чечня,Северо-Кавказский,12593,1718,2024,Сарафанниково,43.5139336,46.3189579
Шенкурск,Архангельская область,Северо-Западный,4600,1137,1780,"Вага,Шенкурье",62.1059279,42.9076435
Шилка,Забайкальский край,Сибирский,12046,1897,1951,,51.851639,116.025894
Шимановск,Амурская область,Дальневосточный,16488,1910,1950,Пёра(до 1914);Гондатти(до 1920);Владимиро-Шимановский(до 1950),51.9987022,127.6719156
Шиханы,Саратовская область,Приволжский,5155,1928,1996,,52.114838,47.198475
Шлиссельбург,Ленинградская область,Северо-Западный,14131,1323,1780,Орешек(до 1611);Нотебург(до 1702);Петрокрепость(с 1944 до 1992),59.940431,31.0336955
Шумерля,Чувашия,Приволжский,26873,1916,1937,,55.4985162,46.4186725
Шумиха,Курганская область,Уральский,16264,1892,1944,,55.228207,63.282501
Шуя,Ивановская область,Центральный,55225,1394,1778,Борисоглебская слобода,56.8558465,41.3838496
Щёкино,Тульская область,Центральный,55109,1870,1938,,54.004465,37.5179079
Щёлково,Московская область,Центральный,134211,1550XVI век,1925,,55.9206499,37.9915576
Щигры,Курская область,Центральный,14927,1750XVIII век,1779,Троицкое(до 1779),51.870821,36.9131896
Щучье,Курганская область,Уральский,8252,1750,1945,,55.208908,62.747772
Электрогорск,Московская область,Центральный,29982,1912,1946,Электропередача(до 1946),55.8833393,38.7816503
Электросталь,Московская область,Центральный,146403,1916,1938,Затишье(до 1928),55.784515,38.4449485
Электроугли,Московская область,Центральный,17944,1899,1956,,55.7184467,38.2228192
Элиста,Калмыкия,Южный,102583,1865,1930,Степной(с 1944 до 1957),46.3073288,44.2692214
Энгельс,Саратовская область,Приволжский,225428,1747,1914,Покровская слобода(до 1914);Покровск(до 1931),51.5013775,46.1233093
Эртиль,Воронежская область,Центральный,10024,1897,1963,Ертил,51.8367188,40.7982804
Южа,Ивановская область,Центральный,12957,1628,1925,,56.5840428,42.0109249
Южно-Сахалинск,Сахалинская область,Дальневосточный,181587,1882,1905,Владимировка(до 1905);Тоёхара(до 1947),46.9574273,142.727438
Южно-Сухокумск,Дагестан,Северо-Кавказский,10503,1958,1988,,44.6592701,45.6501591
Южноуральск,Челябинская область,Уральский,37478,1948,1963,"Нижнеувельский острог(до 1775),Нижнеувельская слобода(до 1843),Нижнеувельская станица(до 1924),Увельское(до 1948)",54.4425364,61.2682731
Юрга,Кемеровская область,Сибирский,79693,1886,1949,,55.7136,84.934799
Юрьев-Польский,Владимирская область,Центральный,17276,1152,1778,,56.4971948,39.67864
Юрьевец,Ивановская область,Центральный,7899,1225,1778,,57.3178792,43.1110178
Юрюзань,Челябинская область,Уральский,10284,1758,1943,Юрюзанский завод(до 1943),54.870075,58.427807
Юхнов,Калужская область,Центральный,6610,1410,1777,,54.7415766,35.2264393
Ядрин,Чувашия,Приволжский,7918,1590,1781,,55.9407976,46.2006586
Якутск,Якутия,Дальневосточный,355443,1632,1643,"Ленский острог,Якутский острог",62.0274078,129.7319787
Ялта,Крым,Южный,74652,1154,1838,Красноармейск(с 1921 до 1922),44.4796331,34.1548975
Ялуторовск,Тюменская область,Уральский,38853,1659,1782,,56.654934,66.312752
Янаул,Башкортостан,Приволжский,25908,17351730-е,1991,,56.2714237,54.9294823
Яранск,Кировская область,Приволжский,14284,1584,1780,,57.3042882,47.8855774
Яровое,Алтайский край,Сибирский,16424,1943,1993,,52.919704,78.563568
Ярославль,Ярославская область,Центральный,577279,1010,1071,,57.6263877,39.8933705
Ярцево,Смоленская область,Центральный,41452,1610,1926,,55.0662279,32.6883609
Ясногорск,Тульская область,Центральный,15269,1578,1958,Лаптево(до 1965),54.4792708,37.693329
Ясный,Оренбургская область,Приволжский,15471,1961,1979,,51.036957,59.873268
Яхрома,Московская область,Центральный,14011,1841,1940,"Суровцево,посёлок Покровской мануфактуры",56.289936,37.4838441
